Combination_Index,initial_capital,risk_per_trade,open_range_min,stop_loss_pct,take_profit_pct,expiration_days,sigma,max_trades,max_minutes_in_trade,max_daily_loss_pct,max_portfolio_cap,max_drawdown_pct,max_consecutive_losses,trailing_stop_pct,decay_threshold
0,25000,0.1,10,0.05,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
1,25000,0.1,10,0.05,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
2,25000,0.1,10,0.05,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
3,25000,0.1,10,0.05,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
4,25000,0.1,10,0.05,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
5,25000,0.1,10,0.05,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
6,25000,0.1,10,0.05,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
7,25000,0.1,10,0.05,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
8,25000,0.1,10,0.05,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
9,25000,0.1,10,0.05,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
10,25000,0.1,10,0.05,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
11,25000,0.1,10,0.05,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
12,25000,0.1,10,0.1,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
13,25000,0.1,10,0.1,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
14,25000,0.1,10,0.1,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
15,25000,0.1,10,0.1,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
16,25000,0.1,10,0.1,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
17,25000,0.1,10,0.1,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
18,25000,0.1,10,0.1,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
19,25000,0.1,10,0.1,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
20,25000,0.1,10,0.1,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
21,25000,0.1,10,0.1,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
22,25000,0.1,10,0.1,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
23,25000,0.1,10,0.1,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
24,25000,0.1,10,0.15,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
25,25000,0.1,10,0.15,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
26,25000,0.1,10,0.15,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
27,25000,0.1,10,0.15,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
28,25000,0.1,10,0.15,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
29,25000,0.1,10,0.15,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
30,25000,0.1,10,0.15,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
31,25000,0.1,10,0.15,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
32,25000,0.1,10,0.15,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
33,25000,0.1,10,0.15,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
34,25000,0.1,10,0.15,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
35,25000,0.1,10,0.15,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
36,25000,0.1,15,0.05,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
37,25000,0.1,15,0.05,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
38,25000,0.1,15,0.05,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
39,25000,0.1,15,0.05,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
40,25000,0.1,15,0.05,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
41,25000,0.1,15,0.05,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
42,25000,0.1,15,0.05,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
43,25000,0.1,15,0.05,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
44,25000,0.1,15,0.05,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
45,25000,0.1,15,0.05,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
46,25000,0.1,15,0.05,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
47,25000,0.1,15,0.05,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
48,25000,0.1,15,0.1,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
49,25000,0.1,15,0.1,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
50,25000,0.1,15,0.1,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
51,25000,0.1,15,0.1,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
52,25000,0.1,15,0.1,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
53,25000,0.1,15,0.1,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
54,25000,0.1,15,0.1,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
55,25000,0.1,15,0.1,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
56,25000,0.1,15,0.1,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
57,25000,0.1,15,0.1,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
58,25000,0.1,15,0.1,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
59,25000,0.1,15,0.1,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
60,25000,0.1,15,0.15,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
61,25000,0.1,15,0.15,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
62,25000,0.1,15,0.15,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
63,25000,0.1,15,0.15,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
64,25000,0.1,15,0.15,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
65,25000,0.1,15,0.15,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
66,25000,0.1,15,0.15,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
67,25000,0.1,15,0.15,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
68,25000,0.1,15,0.15,0.2,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
69,25000,0.1,15,0.15,0.2,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
70,25000,0.1,15,0.15,0.2,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
71,25000,0.1,15,0.15,0.2,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
72,25000,0.1,20,0.05,0.1,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
73,25000,0.1,20,0.05,0.1,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
74,25000,0.1,20,0.05,0.1,2,0.2,1,60,0.15,4,0.7,7,0.25,0.03
75,25000,0.1,20,0.05,0.1,2,0.2,3,60,0.15,4,0.7,7,0.25,0.03
76,25000,0.1,20,0.05,0.1,3,0.2,1,60,0.15,4,0.7,7,0.25,0.03
77,25000,0.1,20,0.05,0.1,3,0.2,3,60,0.15,4,0.7,7,0.25,0.03
78,25000,0.1,20,0.05,0.2,1,0.2,1,60,0.15,4,0.7,7,0.25,0.03
79,25000,0.1,20,0.05,0.2,1,0.2,3,60,0.15,4,0.7,7,0.25,0.03
